Name,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,Coupon
CDA 2020 0.75 9/1/2020,98.41,98.45,98.49,98.46,98.46,98.43,98.43,98.38,98.41,98.42,0.0075
CDA 2021 0.75 3/1/2021,98.89,98.93,98.95,98.94,98.92,98.92,98.88,98.9,98.9,98.93,0.0075
CDA 2021 0.75 9/1/2021,98.41,98.45,98.49,98.46,98.46,98.43,98.43,98.38,98.41,98.42,0.0075
CDA 2022 0.5 3/1/2022,97.57,97.63,97.66,97.65,97.64,97.6,97.61,97.57,97.58,97.61,0.005
CDA 2022 2.75 6/1/2022,102.53,102.59,102.62,102.59,102.58,102.52,102.52,102.46,102.47,102.51,0.0275
CDA 2023 1.75 3/1/2023,100.31,100.42,100.48,100.45,100.44,100.35,100.31,100.27,100.31,100.38,0.0175
CDA 2023 1.5 6/1/2023,99.48,99.59,99.65,99.61,99.62,99.54,99.53,99.44,99.49,99.56,0.015
CDA 2024 2.25 3/1/2024,102.52,102.65,102.75,102.58,102.68,102.53,102.47,102.46,102.54,102.64,0.0225
CDA 19/24 1.5 9/1/2024,98.72,98.95,99.29,99.11,99.25,98.99,99.03,99.06,98.99,99.1,0.015
CANADA 19/25 1.25 3/1/2025,98.24,98.43,98.58,98.48,98.48,98.3,98.25,98.24,98.34,98.47,0.0125
