01-02-2020,01-03-2020,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-13-2020,01-14-2020,01-15-2020
7.98816568,7.955292571,7.856673241,7.823800131,7.790927022,7.758053912,7.725180802,7.626561473,7.593688363,7.560815253
13.93819855,13.90532544,13.80670611,13.773833,13.74095989,13.70808679,13.67521368,13.57659435,13.54372124,13.51084813
19.98685076,19.95397765,19.85535832,19.82248521,19.7896121,19.75673899,19.72386588,19.62524655,19.59237344,19.55950033
25.93688363,25.90401052,25.80539119,25.77251808,25.73964497,25.70677186,25.67389875,25.57527942,25.54240631,25.5095332
28.96120973,28.92833662,28.82971729,28.79684418,28.76397107,28.73109796,28.69822485,28.59960552,28.56673241,28.5338593
37.9355687,37.9026956,37.80407627,37.77120316,37.73833005,37.70545694,37.67258383,37.5739645,37.54109139,37.50821828
40.95989481,40.9270217,40.82840237,40.79552926,40.76265615,40.72978304,40.69690993,40.5982906,40.56541749,40.53254438
49.96712689,49.93425378,49.83563445,49.80276134,49.76988823,49.73701512,49.70414201,49.60552268,49.57264957,49.53977646
56.01577909,55.98290598,55.88428665,55.85141354,55.81854043,55.78566732,55.75279421,55.65417488,55.62130178,55.58842867
61.96581197,61.93293886,61.83431953,61.80144642,61.76857331,61.7357002,61.70282709,61.60420776,61.57133465,61.53846154
